last_name,first_name,party,state,phone,class
Moran,Jerry,R,KS,(202) 224-6521,Class III
Murkowski,Lisa,R,AK,(202) 224-6665,Class III
Murphy,Christopher,D,CT,(202) 224-4041,Class I
Murray,Patty,D,WA,(202) 224-2621,Class III
Nelson,Bill,D,FL,(202) 224-5274,Class I
Paul,Rand,R,KY,(202) 224-4343,Class III
Perdue,David,R,GA,(202) 224-3521,Class II
Peters,Gary C.,D,MI,(202) 224-6221,Class II
Portman,Rob,R,OH,(202) 224-3353,Class III
Reed,Jack,D,RI,(202) 224-4642,Class II
Risch,James E.,R,ID,(202) 224-2752,Class II
Roberts,Pat,R,KS,(202) 224-4774,Class II
Rounds,Mike,R,SD,(202) 224-5842,Class II
Rubio,Marco,R,FL,(202) 224-3041,Class III
Sanders,Bernard,I,VT,(202) 224-5141,Class I
Sasse,Ben,R,NE,(202) 224-4224,Class II
Schatz,Brian,D,HI,(202) 224-3934,Class III
Schumer,Charles E.,D,NY,(202) 224-6542,Class III
Scott,Tim,R,SC,(202) 224-6121,Class III
Sessions,Jeff,R,AL,(202) 224-4124,Class II
Shaheen,Jeanne,D,NH,(202) 224-2841,Class II
Shelby,Richard C.,R,AL,(202) 224-5744,Class III
Stabenow,Debbie,D,MI,(202) 224-4822,Class I
Sullivan,Dan,R,AK,(202) 224-3004,Class II
Tester,Jon,D,MT,(202) 224-2644,Class I
Thune,John,R,SD,(202) 224-2321,Class III
Tillis,Thom,R,NC,(202) 224-6342,Class II
Toomey,Patrick J.,R,PA,(202) 224-4254,Class III
Udall,Tom,D,NM,(202) 224-6621,Class II
Van Hollen,Chris,D,MD,(202) 224-4654,Class III
Warner,Mark R.,D,VA,(202) 224-2023,Class II
Warren,Elizabeth,D,MA,(202) 224-4543,Class I
Whitehouse,Sheldon,D,RI,(202) 224-2921,Class I
Wicker,Roger F.,R,MS,(202) 224-6253,Class I
Wyden,Ron,D,OR,(202) 224-5244,Class III
Young,Todd,R,IN,(202) 224-5623,Class III
